eventGroup	count	month	year
Disturbances	1662	7	2010
Other Property	330	7	2010
Nuisance, Mischief 	270	7	2010
Traffic Related Calls	2668	7	2010
Suspicious Circumstances	2096	7	2010
Mental Health	271	7	2010
Liquor Violations	651	7	2010
Trespass	455	7	2010
Assaults	194	7	2010
Narcotics Complaints	265	7	2010
Accident Investigation	658	7	2010
Shoplifting	256	7	2010
Prowler	16	7	2010
Burglary	269	7	2010
Hazards	82	7	2010
Property Damage	203	7	2010
Car Prowl	409	7	2010
Bike	32	7	2010
Prostitution	86	7	2010
Miscellaneous Misdemeanors	143	7	2010
Animal Complaints	41	7	2010
Threats, Harassment	140	7	2010
Person Down/Injury	101	7	2010
Auto Thefts	220	7	2010
Persons - Lost, Found, Missing	59	7	2010
False Alarms	436	7	2010
Robbery	73	7	2010
Arrest	246	7	2010
Property - Missing, Found	117	7	2010
Reckless Burning	5	7	2010
Weapons Calls	35	7	2010
Lewd Conduct	30	7	2010
Fraud Calls	128	7	2010
Harbor Calls	16	7	2010
Drive By (No Injury)	5	7	2010
Other Vice	4	7	2010
Failure To Register (Sex Offender)	1	7	2010
Homicide	2	7	2010
Disturbances	2353	1	2016
Suspicious Circumstances	2540	1	2016
Other Property	537	1	2016
False Alacad	895	1	2016
Trespass	780	1	2016
Traffic Related Calls	3535	1	2016
Behavioral Health	371	1	2016
Nuisance, Mischief	600	1	2016
Hazards	245	1	2016
Burglary	646	1	2016
Motor Vehicle Collision Investigation	1394	1	2016
Liquor Violations	910	1	2016
Car Prowl	861	1	2016
Shoplifting	611	1	2016
Fraud Calls	249	1	2016
Weapons Calls	34	1	2016
Auto Thefts	502	1	2016
Narcotics Complaints	304	1	2016
Property Damage	311	1	2016
Miscellaneous Misdemeanors	93	1	2016
Animal Complaints	41	1	2016
Assaults	290	1	2016
Arrest	124	1	2016
Property - Missing, Found	215	1	2016
Persons - Lost, Found, Missing	75	1	2016
Prostitution	34	1	2016
Robbery	105	1	2016
Prowler	35	1	2016
Threats, Harassment	203	1	2016
Person Down/Injury	120	1	2016
Homicide	3	1	2016
Bike	38	1	2016
Lewd Conduct	35	1	2016
Drive By (No Injury)	9	1	2016
Public Gatherings	10	1	2016
Reckless Burning	1	1	2016
Harbor Calls	8	1	2016
Other Vice	4	1	2016
Failure To Register (Sex Offender)	1	1	2016
Assaults	1	5	2010
Property Damage	3	5	2010
Auto Thefts	10	5	2010
Narcotics Complaints	2	5	2010
Other Property	1	5	2010
Burglary	4	5	2010
Fraud Calls	1	5	2010
Nuisance, Mischief 	1	5	2010
Suspicious Circumstances	1	5	2010
Accident Investigation	1	5	2010
Animal Complaints	1	5	2010
Threats, Harassment	2	5	2010
Disturbances	1	5	2010
Traffic Related Calls	4183	6	2016
Shoplifting	669	6	2016
Disturbances	3419	6	2016
Car Prowl	689	6	2016
Suspicious Circumstances	3217	6	2016
Motor Vehicle Collision Investigation	1583	6	2016
False Alacad	1073	6	2016
Trespass	801	6	2016
Miscellaneous Misdemeanors	128	6	2016
Property Damage	422	6	2016
Liquor Violations	1138	6	2016
Nuisance, Mischief	740	6	2016
Behavioral Health	495	6	2016
Burglary	559	6	2016
Auto Thefts	412	6	2016
Hazards	352	6	2016
Narcotics Complaints	362	6	2016
Person Down/Injury	180	6	2016
Assaults	420	6	2016
Other Property	581	6	2016
Threats, Harassment	238	6	2016
Persons - Lost, Found, Missing	138	6	2016
Robbery	130	6	2016
Lewd Conduct	93	6	2016
Property - Missing, Found	297	6	2016
Prostitution	32	6	2016
Fraud Calls	263	6	2016
Weapons Calls	63	6	2016
Prowler	39	6	2016
Arrest	138	6	2016
Animal Complaints	80	6	2016
Bike	76	6	2016
Harbor Calls	56	6	2016
Drive By (No Injury)	9	6	2016
Public Gatherings	11	6	2016
Homicide	3	6	2016
Other Vice	6	6	2016
Failure To Register (Sex Offender)	2	6	2016
Vice Calls	1	6	2016
Reckless Burning	4	6	2016
Car Prowl	12	6	2010
Traffic Related Calls	3	6	2010
Disturbances	1	6	2010
Suspicious Circumstances	1	6	2010
Assaults	2	6	2010
Auto Thefts	19	6	2010
Other Property	10	6	2010
Accident Investigation	2	6	2010
Shoplifting	8	6	2010
Fraud Calls	6	6	2010
Property Damage	3	6	2010
Miscellaneous Misdemeanors	1	6	2010
Bike	2	6	2010
Property - Missing, Found	4	6	2010
Burglary	3	6	2010
Threats, Harassment	2	6	2010
Motor Vehicle Collision Investigation	1440	5	2016
False Alacad	1020	5	2016
Liquor Violations	1194	5	2016
Disturbances	3378	5	2016
Traffic Related Calls	4022	5	2016
Assaults	412	5	2016
Other Property	578	5	2016
Trespass	847	5	2016
Nuisance, Mischief	746	5	2016
Shoplifting	656	5	2016
Threats, Harassment	214	5	2016
Suspicious Circumstances	3263	5	2016
Hazards	328	5	2016
Narcotics Complaints	383	5	2016
Behavioral Health	506	5	2016
Property - Missing, Found	281	5	2016
Property Damage	375	5	2016
Car Prowl	840	5	2016
Animal Complaints	65	5	2016
Person Down/Injury	132	5	2016
Miscellaneous Misdemeanors	124	5	2016
Persons - Lost, Found, Missing	114	5	2016
Auto Thefts	420	5	2016
Arrest	135	5	2016
Weapons Calls	55	5	2016
Bike	76	5	2016
Burglary	640	5	2016
Fraud Calls	255	5	2016
Harbor Calls	25	5	2016
Prostitution	17	5	2016
Robbery	122	5	2016
Lewd Conduct	67	5	2016
Drive By (No Injury)	8	5	2016
Prowler	25	5	2016
Public Gatherings	12	5	2016
Failure To Register (Sex Offender)	6	5	2016
Reckless Burning	4	5	2016
Other Vice	3	5	2016
Shoplifting	1	1	2010
Traffic Related Calls	6	1	2010
Auto Thefts	3	1	2010
Suspicious Circumstances	4	1	2010
Assaults	3	1	2010
Burglary	1	1	2010
Liquor Violations	1	1	2010
Other Property	1	1	2010
Narcotics Complaints	3	1	2010
Trespass	861	8	2010
Hazards	172	8	2010
Traffic Related Calls	5375	8	2010
Accident Investigation	1449	8	2010
Person Down/Injury	191	8	2010
Disturbances	3549	8	2010
Suspicious Circumstances	4737	8	2010
Miscellaneous Misdemeanors	302	8	2010
Arrest	591	8	2010
False Alarms	1002	8	2010
Car Prowl	769	8	2010
Other Property	643	8	2010
Liquor Violations	1309	8	2010
Threats, Harassment	277	8	2010
Mental Health	552	8	2010
Narcotics Complaints	651	8	2010
Property - Missing, Found	239	8	2010
Property Damage	398	8	2010
Auto Thefts	410	8	2010
Persons - Lost, Found, Missing	142	8	2010
Shoplifting	433	8	2010
Nuisance, Mischief 	544	8	2010
Burglary	650	8	2010
Robbery	136	8	2010
Assaults	377	8	2010
Lewd Conduct	53	8	2010
Animal Complaints	74	8	2010
Bike	75	8	2010
Fraud Calls	339	8	2010
Weapons Calls	60	8	2010
Prostitution	140	8	2010
Prowler	27	8	2010
Homicide	8	8	2010
Failure To Register (Sex Offender)	3	8	2010
Other Vice	10	8	2010
Harbor Calls	19	8	2010
Drive By (No Injury)	6	8	2010
Reckless Burning	3	8	2010
Auto Thefts	5	4	2010
Car Prowl	1	4	2010
Other Property	1	4	2010
Traffic Related Calls	2	4	2010
Suspicious Circumstances	2	4	2010
Traffic Related Calls	1	2	2010
Car Prowl	1	2	2010
Auto Thefts	2	2	2010
Assaults	1	2	2010
Shoplifting	1	2	2010
Robbery	1	2	2010
Fraud Calls	1	2	2010
Motor Vehicle Collision Investigation	1569	9	2016
Suspicious Circumstances	3141	9	2016
Traffic Related Calls	3798	9	2016
Other Property	521	9	2016
Property Damage	318	9	2016
Lewd Conduct	64	9	2016
False Alacad	948	9	2016
Liquor Violations	1138	9	2016
Narcotics Complaints	392	9	2016
Burglary	640	9	2016
Threats, Harassment	225	9	2016
Behavioral Health	440	9	2016
Property - Missing, Found	299	9	2016
Disturbances	3234	9	2016
Trespass	877	9	2016
Nuisance, Mischief	694	9	2016
Animal Complaints	60	9	2016
Auto Thefts	413	9	2016
Arrest	111	9	2016
Miscellaneous Misdemeanors	131	9	2016
Person Down/Injury	103	9	2016
Car Prowl	748	9	2016
Robbery	117	9	2016
Hazards	347	9	2016
Shoplifting	589	9	2016
Assaults	408	9	2016
Weapons Calls	51	9	2016
Prostitution	25	9	2016
Fraud Calls	251	9	2016
Prowler	36	9	2016
Persons - Lost, Found, Missing	110	9	2016
Bike	91	9	2016
Drive By (No Injury)	3	9	2016
Reckless Burning	5	9	2016
Failure To Register (Sex Offender)	8	9	2016
Public Gatherings	12	9	2016
Other Vice	5	9	2016
Harbor Calls	21	9	2016
Traffic Related Calls	1	3	2010
Auto Thefts	2	3	2010
Arrest	1	3	2010
Burglary	1	3	2010
Fraud Calls	1	3	2010
Disturbances	1	3	2010
Car Prowl	2	3	2010
Suspicious Circumstances	1	3	2010
Trespass	818	9	2010
Traffic Related Calls	5340	9	2010
Shoplifting	478	9	2010
Suspicious Circumstances	4230	9	2010
Assaults	398	9	2010
False Alarms	809	9	2010
Other Property	646	9	2010
Nuisance, Mischief 	502	9	2010
Disturbances	3074	9	2010
Car Prowl	762	9	2010
Liquor Violations	1124	9	2010
Narcotics Complaints	703	9	2010
Mental Health	553	9	2010
Arrest	542	9	2010
Accident Investigation	1357	9	2010
Other Vice	11	9	2010
Miscellaneous Misdemeanors	234	9	2010
Auto Thefts	419	9	2010
Threats, Harassment	268	9	2010
Lewd Conduct	39	9	2010
Prostitution	135	9	2010
Robbery	123	9	2010
Property Damage	365	9	2010
Burglary	660	9	2010
Persons - Lost, Found, Missing	135	9	2010
Hazards	153	9	2010
Person Down/Injury	191	9	2010
Fraud Calls	266	9	2010
Property - Missing, Found	179	9	2010
Prowler	39	9	2010
Weapons Calls	64	9	2010
Bike	76	9	2010
Animal Complaints	58	9	2010
Harbor Calls	16	9	2010
Failure To Register (Sex Offender)	7	9	2010
Drive By (No Injury)	6	9	2010
Homicide	11	9	2010
Reckless Burning	3	9	2010
Arrest	610	10	2010
Burglary	623	10	2010
Suspicious Circumstances	4395	10	2010
Trespass	846	10	2010
Disturbances	2844	10	2010
Auto Thefts	469	10	2010
Traffic Related Calls	5227	10	2010
False Alarms	813	10	2010
Mental Health	530	10	2010
Hazards	131	10	2010
Miscellaneous Misdemeanors	205	10	2010
Liquor Violations	1250	10	2010
Accident Investigation	1564	10	2010
Threats, Harassment	254	10	2010
Property Damage	390	10	2010
Assaults	400	10	2010
Narcotics Complaints	639	10	2010
Persons - Lost, Found, Missing	123	10	2010
Fraud Calls	459	10	2010
Prowler	36	10	2010
Car Prowl	677	10	2010
Shoplifting	491	10	2010
Other Property	614	10	2010
Nuisance, Mischief 	455	10	2010
Animal Complaints	52	10	2010
Person Down/Injury	195	10	2010
Bike	79	10	2010
Property - Missing, Found	212	10	2010
Robbery	113	10	2010
Lewd Conduct	38	10	2010
Prostitution	142	10	2010
Other Vice	9	10	2010
Weapons Calls	55	10	2010
Failure To Register (Sex Offender)	2	10	2010
Homicide	5	10	2010
Harbor Calls	10	10	2010
Reckless Burning	6	10	2010
Drive By (No Injury)	6	10	2010
Suspicious Circumstances	3586	11	2010
Liquor Violations	979	11	2010
Nuisance, Mischief 	420	11	2010
Disturbances	2281	11	2010
Narcotics Complaints	472	11	2010
Traffic Related Calls	4593	11	2010
Assaults	299	11	2010
Mental Health	508	11	2010
Other Property	533	11	2010
Lewd Conduct	37	11	2010
False Alarms	819	11	2010
Arrest	499	11	2010
Burglary	550	11	2010
Car Prowl	822	11	2010
Prowler	27	11	2010
Trespass	732	11	2010
Robbery	134	11	2010
Auto Thefts	362	11	2010
Harbor Calls	13	11	2010
Accident Investigation	1449	11	2010
Property Damage	369	11	2010
Weapons Calls	36	11	2010
Fraud Calls	659	11	2010
Person Down/Injury	168	11	2010
Hazards	208	11	2010
Threats, Harassment	218	11	2010
Shoplifting	413	11	2010
Bike	42	11	2010
Property - Missing, Found	161	11	2010
Miscellaneous Misdemeanors	139	11	2010
Persons - Lost, Found, Missing	111	11	2010
Failure To Register (Sex Offender)	4	11	2010
Prostitution	108	11	2010
Animal Complaints	38	11	2010
Drive By (No Injury)	12	11	2010
Other Vice	2	11	2010
Homicide	5	11	2010
Reckless Burning	6	11	2010
Vice Calls	1	11	2010
Hazards	216	2	2016
Disturbances	2089	2	2016
Liquor Violations	930	2	2016
Property Damage	268	2	2016
Traffic Related Calls	3066	2	2016
Suspicious Circumstances	2421	2	2016
Car Prowl	707	2	2016
Behavioral Health	369	2	2016
Trespass	683	2	2016
Shoplifting	566	2	2016
Weapons Calls	53	2	2016
Fraud Calls	231	2	2016
Other Property	450	2	2016
Burglary	546	2	2016
False Alacad	813	2	2016
Property - Missing, Found	212	2	2016
Motor Vehicle Collision Investigation	1278	2	2016
Auto Thefts	412	2	2016
Assaults	265	2	2016
Arrest	111	2	2016
Lewd Conduct	43	2	2016
Nuisance, Mischief	539	2	2016
Robbery	83	2	2016
Person Down/Injury	94	2	2016
Narcotics Complaints	375	2	2016
Bike	35	2	2016
Miscellaneous Misdemeanors	93	2	2016
Persons - Lost, Found, Missing	64	2	2016
Threats, Harassment	158	2	2016
Prowler	27	2	2016
Animal Complaints	41	2	2016
Homicide	3	2	2016
Harbor Calls	6	2	2016
Other Vice	6	2	2016
Prostitution	12	2	2016
Public Gatherings	6	2	2016
Failure To Register (Sex Offender)	2	2	2016
Reckless Burning	1	2	2016
Drive By (No Injury)	5	2	2016
Burglary	716	12	2010
Prowler	33	12	2010
Suspicious Circumstances	2682	12	2010
Prostitution	38	12	2010
False Alarms	893	12	2010
Liquor Violations	879	12	2010
Accident Investigation	633	12	2010
Traffic Related Calls	3181	12	2010
Arrest	358	12	2010
Disturbances	1866	12	2010
Person Down/Injury	138	12	2010
Mental Health	474	12	2010
Nuisance, Mischief 	322	12	2010
Trespass	618	12	2010
Assaults	251	12	2010
Car Prowl	605	12	2010
Hazards	70	12	2010
Property Damage	353	12	2010
Other Property	541	12	2010
Threats, Harassment	221	12	2010
Animal Complaints	31	12	2010
Robbery	121	12	2010
Auto Thefts	336	12	2010
Miscellaneous Misdemeanors	86	12	2010
Narcotics Complaints	371	12	2010
Property - Missing, Found	143	12	2010
Fraud Calls	314	12	2010
Shoplifting	477	12	2010
Lewd Conduct	23	12	2010
Bike	24	12	2010
Persons - Lost, Found, Missing	103	12	2010
Weapons Calls	25	12	2010
Drive By (No Injury)	12	12	2010
Harbor Calls	10	12	2010
Other Vice	7	12	2010
Reckless Burning	6	12	2010
Homicide	3	12	2010
Failure To Register (Sex Offender)	4	12	2010
Trespass	626	1	2011
Traffic Related Calls	5713	1	2011
Auto Thefts	386	1	2011
Disturbances	2507	1	2011
Suspicious Circumstances	4458	1	2011
Mental Health	532	1	2011
Hazards	188	1	2011
Nuisance, Mischief 	8	1	2011
Prostitution	124	1	2011
Car Prowl	782	1	2011
Burglary	766	1	2011
False Alarms	826	1	2011
Accident Investigation	1376	1	2011
Other Property	644	1	2011
Liquor Violations	1325	1	2011
Assaults	376	1	2011
Property Damage	431	1	2011
Person Down/Injury	170	1	2011
Narcotics Complaints	689	1	2011
Shoplifting	473	1	2011
Threats, Harassment	235	1	2011
Robbery	140	1	2011
Arrest	593	1	2011
Miscellaneous Misdemeanors	136	1	2011
Property - Missing, Found	201	1	2011
Fraud Calls	273	1	2011
Animal Complaints	52	1	2011
Reckless Burning	3	1	2011
Lewd Conduct	37	1	2011
Persons - Lost, Found, Missing	121	1	2011
Nuisance, Mischief	596	1	2011
Harbor Calls	10	1	2011
Failure To Register (Sex Offender)	8	1	2011
Weapons Calls	46	1	2011
Other Vice	7	1	2011
Prowler	41	1	2011
Bike	25	1	2011
Drive By (No Injury)	14	1	2011
Vice Calls	12	1	2011
Homicide	2	1	2011
False Alarms	425	2	2011
Suspicious Circumstances	1913	2	2011
Car Prowl	317	2	2011
Traffic Related Calls	2269	2	2011
Disturbances	1169	2	2011
Auto Thefts	231	2	2011
Assaults	169	2	2011
Burglary	308	2	2011
Persons - Lost, Found, Missing	59	2	2011
Narcotics Complaints	302	2	2011
Trespass	246	2	2011
Arrest	283	2	2011
Hazards	96	2	2011
Other Property	292	2	2011
Liquor Violations	612	2	2011
Accident Investigation	551	2	2011
Mental Health	257	2	2011
Property - Missing, Found	90	2	2011
Threats, Harassment	118	2	2011
Nuisance, Mischief 	10	2	2011
Property Damage	189	2	2011
Animal Complaints	27	2	2011
Robbery	65	2	2011
Fraud Calls	115	2	2011
Shoplifting	184	2	2011
Harbor Calls	6	2	2011
Person Down/Injury	94	2	2011
Miscellaneous Misdemeanors	47	2	2011
Nuisance, Mischief	263	2	2011
Prostitution	48	2	2011
Failure To Register (Sex Offender)	3	2	2011
Weapons Calls	26	2	2011
Lewd Conduct	9	2	2011
Bike	10	2	2011
Prowler	13	2	2011
Other Vice	3	2	2011
Reckless Burning	1	2	2011
Homicide	3	2	2011
Vice Calls	1	2	2011
Trespass	422	6	2011
Suspicious Circumstances	3107	6	2011
Property - Missing, Found	195	6	2011
Traffic Related Calls	3307	6	2011
Mental Health	521	6	2011
False Alarms	651	6	2011
Auto Thefts	471	6	2011
Liquor Violations	1309	6	2011
Other Property	619	6	2011
Disturbances	2710	6	2011
Nuisance, Mischief 	485	6	2011
Threats, Harassment	196	6	2011
Hazards	166	6	2011
Arrest	358	6	2011
Person Down/Injury	140	6	2011
Burglary	482	6	2011
Narcotics Complaints	444	6	2011
Car Prowl	617	6	2011
Property Damage	390	6	2011
Miscellaneous Misdemeanors	164	6	2011
Accident Investigation	1225	6	2011
Assaults	318	6	2011
Fraud Calls	225	6	2011
Shoplifting	357	6	2011
Robbery	117	6	2011
Animal Complaints	56	6	2011
Bike	70	6	2011
Persons - Lost, Found, Missing	106	6	2011
Prostitution	74	6	2011
Lewd Conduct	49	6	2011
Failure To Register (Sex Offender)	5	6	2011
Prowler	19	6	2011
Weapons Calls	52	6	2011
Other Vice	2	6	2011
Harbor Calls	12	6	2011
Drive By (No Injury)	13	6	2011
Reckless Burning	5	6	2011
Homicide	2	6	2011
Nuisance, Mischief	48	6	2011
Suspicious Circumstances	1981	3	2011
Mental Health	321	3	2011
Traffic Related Calls	2300	3	2011
Car Prowl	371	3	2011
Burglary	402	3	2011
Assaults	188	3	2011
False Alarms	512	3	2011
Auto Thefts	241	3	2011
Other Property	368	3	2011
Shoplifting	263	3	2011
Liquor Violations	710	3	2011
Hazards	70	3	2011
Disturbances	1283	3	2011
Property Damage	203	3	2011
Fraud Calls	172	3	2011
Trespass	312	3	2011
Arrest	330	3	2011
Narcotics Complaints	317	3	2011
Robbery	83	3	2011
Accident Investigation	575	3	2011
Nuisance, Mischief 	250	3	2011
Property - Missing, Found	112	3	2011
Prostitution	53	3	2011
Threats, Harassment	167	3	2011
Miscellaneous Misdemeanors	82	3	2011
Animal Complaints	23	3	2011
Lewd Conduct	21	3	2011
Persons - Lost, Found, Missing	63	3	2011
Person Down/Injury	83	3	2011
Failure To Register (Sex Offender)	3	3	2011
Weapons Calls	27	3	2011
Other Vice	3	3	2011
Prowler	26	3	2011
Drive By (No Injury)	9	3	2011
Bike	16	3	2011
Harbor Calls	6	3	2011
Reckless Burning	2	3	2011
Nuisance, Mischief	46	3	2011
Suspicious Circumstances	3224	4	2011
Auto Thefts	423	4	2011
Car Prowl	580	4	2011
Traffic Related Calls	3719	4	2011
Persons - Lost, Found, Missing	92	4	2011
Other Property	533	4	2011
Person Down/Injury	160	4	2011
Disturbances	2308	4	2011
Assaults	319	4	2011
Property Damage	318	4	2011
Nuisance, Mischief 	459	4	2011
Arrest	460	4	2011
Shoplifting	364	4	2011
Mental Health	432	4	2011
Fraud Calls	243	4	2011
Narcotics Complaints	616	4	2011
Accident Investigation	1291	4	2011
Burglary	568	4	2011
Liquor Violations	1439	4	2011
Trespass	499	4	2011
False Alarms	713	4	2011
Robbery	117	4	2011
Threats, Harassment	205	4	2011
Property - Missing, Found	168	4	2011
Prostitution	86	4	2011
Animal Complaints	34	4	2011
Hazards	145	4	2011
Miscellaneous Misdemeanors	120	4	2011
Weapons Calls	47	4	2011
Prowler	29	4	2011
Bike	28	4	2011
Other Vice	7	4	2011
Drive By (No Injury)	2	4	2011
Lewd Conduct	59	4	2011
Harbor Calls	11	4	2011
Vice Calls	1	4	2011
Failure To Register (Sex Offender)	4	4	2011
Reckless Burning	2	4	2011
Homicide	1	4	2011
Nuisance, Mischief	46	4	2011
Suspicious Circumstances	3309	5	2011
